,Narration,Withdrawal Amt,Deposit Amt,Withdrawal Sum,Deposit Sum,Net Expense,Net Expense per Month
513,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-332573283527-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
516,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-332610028688-UPI,10.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
518,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-332729705711-CHIKKI,90.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
519,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-332740011602-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
520,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-332755537087-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
521,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-332766715200-PAYMENT FOR SWIGGY,413.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
532,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-333180065074-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
539,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-333341190399-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
544,UPI-SWIGGY-SWIGGYUPI@AXISBANK-UTIB0000000-333423997119-SWIGGY ORDER ID 16,403.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
550,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-333668892194-GROCERY,463.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
555,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-333826635254-UPI,60.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
562,UPI-CHAMUNDESHWARI FRUIT-9035187641@OKBIZAXIS-UTIB0000000-334010027194-FRUITS,287.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
563,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-334010230547-UPI,26.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
574,UPI-RAINBOW FOOD MART-PAYTMQRNXUBNFG2S6@PAYTM-PYTM0123456-334587945437-UPI,240.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
578,UPI-RAINBOW FOOD MART-PAYTMQRNXUBNFG2S6@PAYTM-PYTM0123456-334765936384-UPI,180.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
592,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-335556011480-UPI,15.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
593,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-335556039178-UPI,15.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
597,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-335682740345-UPI,240.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
598,UPI-CHAMUNDESHWARI FRUIT-9035187641@OKBIZAXIS-UTIB0000000-335683003750-APPLE,109.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
601,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-335706249635-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
611,UPI-CHAMUNDESHWARI FRUIT-9035187641@OKBIZAXIS-UTIB0000000-336028107421-UPI,121.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
613,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-336161711699-UPI,30.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
618,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-336283043469-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
621,UPI-MILANO ICE CREAM PRI-VYAPAR.169048626091@HDFCBANK-HDFC0000001-336299057655-ICE CREAM,180.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
625,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-336316170469-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
628,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-336332669824-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
632,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-336450247167-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
640,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-400270060558-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
641,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-436866178430-UPI,30.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
650,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-400439383865-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
655,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-400595683069-CHIPS,30.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
659,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-400766767132-UPI,175.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
669,UPI-SHABARI JUICE JUNCTI-PAYTMQR15B9EJO80T@PAYTM-PYTM0123456-401104689433-JUICES,135.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
677,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-401687753367-UPI,80.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
680,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-401722799509-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
684,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-401878776799-UPI,30.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
690,UPI-SWIGGYINSTAMART-SWIGGYINSTAMART@YESPAY-YESB0YESUPI-402148753584-DEBIT MONEY USING,200.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
695,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-402214778378-UPI,156.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
696,UPI-RAINBOW FOOD MART-PAYTMQRNXUBNFG2S6@PAYTM-PYTM0123456-402462047825-CHOCOLATES,920.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
701,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-402507857462-UPI,40.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
703,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-439164602826-DEBIT MONEY USING,387.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
705,UPI-BUNDL TECHNOLOGIES P-BUNDLTECHNOLOGIESPVTLTDSWIGGY.RZP@SBI-SBIN0016209-402619125018-SWIGGY,313.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
706,UPI-RAINBOW FOOD MART-PAYTMQRNXUBNFG2S6@PAYTM-PYTM0123456-402661037445-UPI,36.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
710,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-402893448858-PAYMENT FOR SWIGGY,385.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
711,UPI-RAINBOW FOOD MART-PAYTMQRNXUBNFG2S6@PAYTM-PYTM0123456-402941098195-UPI,50.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
713,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-402948860653-UPI,40.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
